		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	LABELS	crop_rotation	intercropping	fallowing	manure	atanhrho_12	atanhrho_13	atanhrho_14	atanhrho_23	atanhrho_24	atanhrho_34
											
gap	Aspiration gap (0-1)	0.373	3.829***	1.783**	1.429						
		(0.879)	(0.972)	(0.903)	(1.040)						
gap_sq	Gap squared (0-1)	0.125	-3.805***	-1.413*	-0.910						
		(0.776)	(0.887)	(0.747)	(0.850)						
Offfarm_participation	Off-farm activity (1/0)	-0.0336	-0.210*	0.0802	-0.126						
		(0.103)	(0.118)	(0.128)	(0.110)						
hh_size	Household size (num)	0.00890	0.0163	0.00903	0.00687						
		(0.0125)	(0.0130)	(0.0146)	(0.0138)						
credit_access	Credit access (1/0)	0.0707	0.216**	0.0350	-0.0348						
		(0.105)	(0.105)	(0.114)	(0.114)						
age_hh	Age of head (years)	0.00438	0.000192	-0.000128	-0.00549						
		(0.00308)	(0.00398)	(0.00393)	(0.00427)						
educ_hh	Educational level (years)	0.0160	-0.00313	-0.0207	-0.00972						
		(0.0114)	(0.0148)	(0.0141)	(0.0131)						
coop_membership	Cooperative membership (1/0)	0.289***	0.0240	0.212*	0.0859						
		(0.107)	(0.112)	(0.122)	(0.110)						
extension_contact	Extension access (1/0)	0.240**	0.256**	-0.0394	0.138						
		(0.118)	(0.123)	(0.125)	(0.0960)						
gender_hh	Head is male (1/0)	0.0292	0.0462	-0.0454	0.0355						
		(0.0878)	(0.122)	(0.111)	(0.113)						
pc1	Asset index	0.110***	-0.0445	0.168***	0.125***						
		(0.0305)	(0.0449)	(0.0417)	(0.0369)						
Constant	Constant	-0.732**	-0.410	-0.305	-0.506	-0.0154	0.487***	0.330***	0.173*	0.209**	0.170*
		(0.348)	(0.406)	(0.436)	(0.486)	(0.0822)	(0.0988)	(0.0871)	(0.101)	(0.0852)	(0.0924)
											
Observations		1,112	1,112	1,112	1,112	1,112	1,112	1,112	1,112	1,112	1,112
Additional controls		Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
Village FE		Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
Year FE		Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
Robust standard errors in parentheses											
*** p<0.01, ** p<0.05, * p<0.1											
